episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.8
2,1.0,0.5,0.99,nan,4.8
3,0.0,0.333,0.9851,nan,6.7
4,-1.0,0.0,0.9801,0.00103,8.9
5,1.0,0.2,0.9752,0.00061,11.4
6,-1.0,0.0,0.9704,0.00036,13.8
7,0.0,0.0,0.9655,0.00032,16.5
8,-1.0,-0.125,0.9607,0.00018,19.0
9,0.0,-0.111,0.9559,0.00045,21.4
10,1.0,0.0,0.9511,0.00037,23.9
11,-1.0,-0.091,0.9464,0.00454,26.3
12,0.0,-0.083,0.9416,0.00034,28.7
13,0.0,-0.077,0.9369,0.00071,31.3
14,0.0,-0.071,0.9322,0.00023,33.5
15,0.0,-0.067,0.9276,0.00615,35.9
16,-1.0,-0.125,0.9229,0.00023,38.2
17,-2.0,-0.235,0.9183,0.0003,40.6
18,0.0,-0.222,0.9137,0.0066,42.9
19,0.0,-0.211,0.9092,0.0004,45.5
20,-1.0,-0.25,0.9046,0.00025,48.1
21,-1.0,-0.286,0.9001,0.00065,51.1
22,2.0,-0.182,0.8956,0.00028,53.8
23,1.0,-0.13,0.8911,0.00049,56.4
24,1.0,-0.083,0.8867,0.0002,58.8
25,1.0,-0.04,0.8822,0.00036,61.3
26,0.0,-0.038,0.8778,0.00044,63.9
27,-3.0,-0.148,0.8734,0.0052,66.3
28,-2.0,-0.214,0.8691,0.0002,69.0
29,-1.0,-0.241,0.8647,0.00035,71.3
30,-2.0,-0.3,0.8604,0.00804,73.6
31,1.0,-0.258,0.8561,0.00028,76.0
32,0.0,-0.25,0.8518,0.0006,78.4
33,-2.0,-0.303,0.8475,0.00564,80.6
34,1.0,-0.265,0.8433,0.00383,82.9
35,1.0,-0.229,0.8391,0.00052,85.3
36,-1.0,-0.25,0.8349,0.00058,87.7
37,-2.0,-0.297,0.8307,0.00037,90.2
38,2.0,-0.237,0.8266,0.00506,92.5
39,-2.0,-0.282,0.8224,0.00029,94.7
40,0.0,-0.275,0.8183,0.00085,96.9
41,1.0,-0.244,0.8142,0.00071,99.1
42,1.0,-0.214,0.8102,0.01274,101.5
43,0.0,-0.209,0.8061,0.00035,104.0
44,0.0,-0.205,0.8021,0.0004,106.4
45,0.0,-0.2,0.7981,0.00027,108.7
46,-1.0,-0.217,0.7941,0.00858,110.9
47,1.0,-0.191,0.7901,0.00055,113.1
48,0.0,-0.188,0.7862,0.00046,115.4
49,0.0,-0.184,0.7822,0.0003,117.8
50,0.0,-0.18,0.7783,0.00236,120.0
51,0.0,-0.176,0.7744,0.00804,122.3
52,-2.0,-0.212,0.7705,0.00234,124.7
53,1.0,-0.189,0.7667,0.0004,127.0
54,0.0,-0.185,0.7629,0.00153,129.2
55,1.0,-0.164,0.759,0.01458,131.7
56,0.0,-0.161,0.7553,0.00047,134.1
57,-1.0,-0.175,0.7515,0.01102,136.4
58,2.0,-0.138,0.7477,0.00594,138.6
59,0.0,-0.136,0.744,0.00037,140.9
60,3.0,-0.083,0.7403,0.00162,143.2
61,-1.0,-0.098,0.7366,0.00083,145.5
62,0.0,-0.097,0.7329,0.00038,147.7
63,0.0,-0.095,0.7292,0.00045,149.8
64,-1.0,-0.109,0.7256,0.00053,152.0
65,-2.0,-0.138,0.7219,0.00031,154.1
66,-1.0,-0.152,0.7183,0.00713,156.2
67,-1.0,-0.164,0.7147,0.00051,158.5
68,1.0,-0.147,0.7112,0.00741,160.8
69,1.0,-0.13,0.7076,0.00021,162.9
70,0.0,-0.129,0.7041,0.00902,165.0
71,-1.0,-0.141,0.7005,0.00023,167.3
72,2.0,-0.111,0.697,0.0003,169.5
73,0.0,-0.11,0.6936,0.00041,171.6
74,0.0,-0.108,0.6901,0.00686,174.1
75,2.0,-0.08,0.6866,0.00024,176.5
76,3.0,-0.039,0.6832,0.00816,178.6
77,0.0,-0.039,0.6798,0.00028,180.8
78,-1.0,-0.051,0.6764,0.00029,183.0
79,-2.0,-0.076,0.673,0.00311,185.1
80,1.0,-0.062,0.6696,0.00027,187.3
81,0.0,-0.062,0.6663,0.0002,189.6
82,-1.0,-0.073,0.663,0.0007,191.8
83,0.0,-0.072,0.6597,0.00055,194.0
84,0.0,-0.071,0.6564,0.00021,196.3
85,0.0,-0.071,0.6531,0.00028,198.5
86,2.0,-0.047,0.6498,0.00021,200.8
87,0.0,-0.046,0.6466,0.00056,203.2
88,2.0,-0.023,0.6433,0.0003,205.7
89,1.0,-0.011,0.6401,0.00072,207.7
90,0.0,-0.011,0.6369,0.01985,209.9
91,1.0,0.0,0.6337,0.0003,212.0
92,-1.0,-0.011,0.6306,0.00329,214.1
93,-1.0,-0.022,0.6274,0.00038,216.2
94,1.0,-0.011,0.6243,0.00026,218.4
95,1.0,0.0,0.6211,0.00017,220.6
96,2.0,0.021,0.618,0.00023,222.8
97,4.0,0.062,0.6149,0.0003,224.9
98,0.0,0.061,0.6119,0.00687,227.1
99,0.0,0.061,0.6088,0.00069,229.4
100,3.0,0.09,0.6058,0.00154,231.6
101,0.0,0.09,0.6027,0.00084,233.9
