episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,-2.0,-2.0,0.995,nan,2.7
2,0.0,-1.0,0.99,nan,4.9
3,-1.0,-1.0,0.9851,nan,6.6
4,2.0,-0.25,0.9801,0.00439,8.6
5,0.0,-0.2,0.9752,0.0006,10.9
6,1.0,0.0,0.9704,0.00156,13.1
7,2.0,0.286,0.9655,0.00277,15.3
8,-3.0,-0.125,0.9607,0.00397,17.6
9,-1.0,-0.222,0.9559,0.00211,20.0
10,0.0,-0.2,0.9511,0.00144,22.2
11,-1.0,-0.273,0.9464,0.002,24.6
12,-1.0,-0.333,0.9416,0.00171,26.9
13,-1.0,-0.385,0.9369,0.00268,29.1
14,1.0,-0.286,0.9322,0.00175,31.4
15,0.0,-0.267,0.9276,0.00072,33.9
16,0.0,-0.25,0.9229,0.00188,36.1
17,-2.0,-0.353,0.9183,0.00166,38.2
18,0.0,-0.333,0.9137,0.00112,40.4
19,2.0,-0.211,0.9092,0.00065,42.6
20,-1.0,-0.25,0.9046,0.00051,45.1
21,1.0,-0.19,0.9001,0.00221,47.7
22,1.0,-0.136,0.8956,0.00057,50.0
23,1.0,-0.087,0.8911,0.00078,52.2
24,1.0,-0.042,0.8867,0.00227,54.4
25,0.0,-0.04,0.8822,0.00292,57.0
26,2.0,0.038,0.8778,0.00321,59.5
27,2.0,0.111,0.8734,0.00134,61.8
28,0.0,0.107,0.8691,0.00226,64.1
29,0.0,0.103,0.8647,0.00318,66.2
30,1.0,0.133,0.8604,0.00073,68.3
31,0.0,0.129,0.8561,0.00078,70.7
32,0.0,0.125,0.8518,0.00094,73.0
33,0.0,0.121,0.8475,0.00068,75.3
34,3.0,0.206,0.8433,0.00081,77.6
35,2.0,0.257,0.8391,0.00222,79.8
36,-1.0,0.222,0.8349,0.00247,82.0
37,1.0,0.243,0.8307,0.0009,84.2
38,0.0,0.237,0.8266,0.00279,86.9
39,1.0,0.256,0.8224,0.00079,89.2
40,0.0,0.25,0.8183,0.00072,91.6
41,0.0,0.244,0.8142,0.0018,93.8
42,0.0,0.238,0.8102,0.00232,96.1
43,2.0,0.279,0.8061,0.00149,98.4
44,0.0,0.273,0.8021,0.0024,100.6
45,1.0,0.289,0.7981,0.00091,102.9
46,2.0,0.326,0.7941,0.0009,105.2
47,1.0,0.34,0.7901,0.00163,107.7
48,-1.0,0.312,0.7862,0.00122,110.0
49,-1.0,0.286,0.7822,0.00069,112.3
50,0.0,0.28,0.7783,0.00096,114.7
51,1.0,0.294,0.7744,0.00412,117.0
52,0.0,0.288,0.7705,0.00263,119.4
53,0.0,0.283,0.7667,0.0043,121.7
54,0.0,0.278,0.7629,0.00182,124.1
55,0.0,0.273,0.759,0.00151,126.4
56,0.0,0.268,0.7553,0.00131,128.6
57,2.0,0.298,0.7515,0.00109,131.1
58,-1.0,0.276,0.7477,0.00317,133.4
59,1.0,0.288,0.744,0.0019,135.7
60,0.0,0.283,0.7403,0.00142,138.0
61,0.0,0.279,0.7366,0.00112,140.3
62,3.0,0.323,0.7329,0.00179,142.5
63,1.0,0.333,0.7292,0.00344,144.9
64,0.0,0.328,0.7256,0.00169,147.1
65,2.0,0.354,0.7219,0.00341,149.6
66,1.0,0.364,0.7183,0.00236,151.9
67,-1.0,0.343,0.7147,0.00393,154.1
68,3.0,0.382,0.7112,0.00087,156.3
69,-1.0,0.362,0.7076,0.00177,158.5
70,0.0,0.357,0.7041,0.00183,160.7
71,0.0,0.352,0.7005,0.00114,162.9
72,1.0,0.361,0.697,0.00213,165.5
73,3.0,0.397,0.6936,0.00131,167.9
74,1.0,0.405,0.6901,0.00138,170.2
75,2.0,0.427,0.6866,0.00306,172.4
76,-1.0,0.408,0.6832,0.0019,174.7
77,1.0,0.416,0.6798,0.00237,177.0
78,-3.0,0.372,0.6764,0.00369,179.3
79,0.0,0.367,0.673,0.00198,181.8
80,-1.0,0.35,0.6696,0.00144,184.1
81,-1.0,0.333,0.6663,0.00192,186.2
82,4.0,0.378,0.663,0.00252,188.5
83,1.0,0.386,0.6597,0.00273,190.8
84,0.0,0.381,0.6564,0.00192,193.0
85,2.0,0.4,0.6531,0.00171,195.2
86,2.0,0.419,0.6498,0.00296,197.5
87,4.0,0.46,0.6466,0.00234,199.8
88,0.0,0.455,0.6433,0.00394,202.2
89,4.0,0.494,0.6401,0.00171,204.6
90,2.0,0.511,0.6369,0.00417,207.2
91,1.0,0.516,0.6337,0.0031,209.6
92,2.0,0.533,0.6306,0.00411,211.9
93,3.0,0.559,0.6274,0.00282,214.2
94,0.0,0.553,0.6243,0.00135,216.5
95,3.0,0.579,0.6211,0.0029,218.8
96,7.0,0.646,0.618,0.00319,221.1
97,0.0,0.639,0.6149,0.00439,223.5
98,1.0,0.643,0.6119,0.00212,225.9
99,-1.0,0.626,0.6088,0.00402,228.5
100,4.0,0.66,0.6058,0.00251,231.0
101,5.0,0.73,0.6027,0.00487,233.4
102,0.0,0.73,0.5997,0.00314,235.7
103,2.0,0.76,0.5967,0.0043,238.0
104,2.0,0.76,0.5937,0.00357,240.4
105,2.0,0.78,0.5908,0.00582,242.7
106,0.0,0.77,0.5878,0.00807,245.0
107,2.0,0.77,0.5849,0.00279,247.2
108,1.0,0.81,0.582,0.00379,249.5
109,5.0,0.87,0.579,0.0021,252.0
110,5.0,0.92,0.5762,0.00214,254.3
111,4.0,0.97,0.5733,0.00453,256.8
112,3.0,1.01,0.5704,0.00368,259.3
113,2.0,1.04,0.5676,0.00477,261.8
114,5.0,1.08,0.5647,0.00447,264.2
115,2.0,1.1,0.5619,0.00254,267.1
116,1.0,1.11,0.5591,0.00411,269.7
117,4.0,1.17,0.5563,0.00644,272.2
118,0.0,1.17,0.5535,0.00561,274.7
119,1.0,1.16,0.5507,0.00618,277.2
120,2.0,1.19,0.548,0.00407,279.5
121,4.0,1.22,0.5452,0.0057,281.8
122,1.0,1.22,0.5425,0.00773,284.3
123,3.0,1.24,0.5398,0.00426,286.8
124,9.0,1.32,0.5371,0.00736,289.2
125,2.0,1.34,0.5344,0.00585,291.5
126,6.0,1.38,0.5318,0.005,293.8
127,0.0,1.36,0.5291,0.00339,296.2
128,1.0,1.37,0.5264,0.00515,298.5
129,6.0,1.43,0.5238,0.00559,300.8
130,5.0,1.47,0.5212,0.0036,303.2
131,0.0,1.47,0.5186,0.00496,305.6
132,4.0,1.51,0.516,0.00363,308.1
133,3.0,1.54,0.5134,0.0036,310.5
134,1.0,1.52,0.5108,0.00199,312.8
135,5.0,1.55,0.5083,0.00258,315.1
136,3.0,1.59,0.5058,0.00343,317.3
137,5.0,1.63,0.5032,0.0056,319.5
138,5.0,1.68,0.5007,0.00976,321.9
139,6.0,1.73,0.4982,0.00924,324.4
140,5.0,1.78,0.4957,0.00543,326.9
141,3.0,1.81,0.4932,0.01109,329.2
142,1.0,1.82,0.4908,0.00584,331.6
143,3.0,1.83,0.4883,0.00797,334.0
144,0.0,1.83,0.4859,0.00629,336.4
145,5.0,1.87,0.4834,0.00339,338.6
146,2.0,1.87,0.481,0.00429,340.8
147,3.0,1.89,0.4786,0.0034,342.9
148,7.0,1.97,0.4762,0.00712,345.2
149,5.0,2.03,0.4738,0.00774,347.5
150,5.0,2.08,0.4715,0.00663,349.8
151,3.0,2.1,0.4691,0.00338,352.0
152,6.0,2.16,0.4668,0.00509,354.1
153,-1.0,2.15,0.4644,0.00463,356.3
154,1.0,2.16,0.4621,0.00834,358.5
155,4.0,2.2,0.4598,0.00479,361.0
156,8.0,2.28,0.4575,0.01379,363.3
157,1.0,2.27,0.4552,0.00686,365.8
158,6.0,2.34,0.4529,0.00409,368.0
159,1.0,2.34,0.4507,0.0045,370.1
160,0.0,2.34,0.4484,0.00599,372.5
161,6.0,2.4,0.4462,0.00438,374.7
162,5.0,2.42,0.444,0.00726,377.0
163,7.0,2.48,0.4417,0.00713,379.2
164,4.0,2.52,0.4395,0.00673,381.6
165,6.0,2.56,0.4373,0.0037,383.9
166,8.0,2.63,0.4351,0.00617,386.5
167,5.0,2.69,0.433,0.00739,388.8
168,4.0,2.7,0.4308,0.00703,391.2
169,3.0,2.74,0.4286,0.00544,393.7
170,5.0,2.79,0.4265,0.00584,396.2
171,5.0,2.84,0.4244,0.00534,398.6
172,7.0,2.9,0.4223,0.00717,401.1
173,3.0,2.9,0.4201,0.00255,403.6
