episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.4
2,-2.0,-1.0,0.99,nan,4.2
3,-2.0,-1.333,0.9851,nan,5.9
4,-1.0,-1.25,0.9801,0.00243,7.8
5,-2.0,-1.4,0.9752,0.01637,9.8
6,0.0,-1.167,0.9704,0.00385,11.8
7,2.0,-0.714,0.9655,0.00308,13.7
8,0.0,-0.625,0.9607,0.00189,15.8
9,3.0,-0.222,0.9559,0.0027,17.8
10,1.0,-0.1,0.9511,0.00567,19.9
11,-1.0,-0.182,0.9464,0.00953,21.9
12,1.0,-0.083,0.9416,0.01521,24.1
13,-1.0,-0.154,0.9369,0.00137,26.2
14,2.0,0.0,0.9322,0.01453,28.5
15,1.0,0.067,0.9276,0.0061,30.7
16,1.0,0.125,0.9229,0.00096,32.8
17,1.0,0.176,0.9183,0.00803,34.9
18,0.0,0.167,0.9137,0.00604,37.0
19,1.0,0.211,0.9092,0.02613,39.0
20,0.0,0.2,0.9046,0.00668,41.0
21,0.0,0.19,0.9001,0.00356,43.0
22,1.0,0.227,0.8956,0.00401,45.1
23,1.0,0.261,0.8911,0.00099,47.2
24,0.0,0.25,0.8867,0.00644,49.2
25,2.0,0.32,0.8822,0.00155,51.4
26,0.0,0.308,0.8778,0.00114,53.8
27,1.0,0.333,0.8734,0.00668,56.1
28,-1.0,0.286,0.8691,0.00117,58.3
29,0.0,0.276,0.8647,0.00097,60.5
30,-2.0,0.2,0.8604,0.00481,62.7
31,0.0,0.194,0.8561,0.00254,64.7
32,1.0,0.219,0.8518,0.00119,66.7
33,-2.0,0.152,0.8475,0.0061,69.0
34,2.0,0.206,0.8433,0.00817,70.9
35,0.0,0.2,0.8391,0.00587,72.9
36,1.0,0.222,0.8349,0.00508,75.0
37,0.0,0.216,0.8307,0.0074,77.0
38,-1.0,0.184,0.8266,0.00123,79.1
39,-2.0,0.128,0.8224,0.00175,81.2
40,0.0,0.125,0.8183,0.02377,83.4
41,-2.0,0.073,0.8142,0.01358,85.4
42,1.0,0.095,0.8102,0.00106,87.4
43,0.0,0.093,0.8061,0.00796,89.4
44,1.0,0.114,0.8021,0.00894,91.3
45,0.0,0.111,0.7981,0.00568,93.5
46,1.0,0.13,0.7941,0.00793,95.6
47,1.0,0.149,0.7901,0.00234,97.8
48,0.0,0.146,0.7862,0.00129,100.0
49,0.0,0.143,0.7822,0.00655,102.0
50,1.0,0.16,0.7783,0.00305,104.1
51,-2.0,0.118,0.7744,0.00216,106.1
52,1.0,0.135,0.7705,0.0011,108.8
53,2.0,0.17,0.7667,0.00802,110.8
54,1.0,0.185,0.7629,0.0064,113.0
55,2.0,0.218,0.759,0.00178,115.1
56,2.0,0.25,0.7553,0.00147,117.1
57,-1.0,0.228,0.7515,0.00291,119.2
58,4.0,0.293,0.7477,0.00714,121.2
59,3.0,0.339,0.744,0.01425,123.2
60,2.0,0.367,0.7403,0.00106,125.1
61,0.0,0.361,0.7366,0.00284,127.1
62,-2.0,0.323,0.7329,0.00747,129.2
63,1.0,0.333,0.7292,0.00943,131.3
64,0.0,0.328,0.7256,0.00102,133.4
65,2.0,0.354,0.7219,0.0097,135.5
66,-2.0,0.318,0.7183,0.01028,137.6
67,0.0,0.313,0.7147,0.00225,139.7
68,0.0,0.309,0.7112,0.00441,141.6
69,1.0,0.319,0.7076,0.00245,143.7
70,1.0,0.329,0.7041,0.00725,145.7
71,0.0,0.324,0.7005,0.00247,147.9
72,1.0,0.333,0.697,0.00848,150.1
73,2.0,0.356,0.6936,0.00569,152.3
74,1.0,0.365,0.6901,0.00214,154.5
