episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.4
2,-2.0,-1.0,0.99,nan,4.6
3,-2.0,-1.333,0.9851,nan,6.5
4,-1.0,-1.25,0.9801,0.00089,8.7
5,-2.0,-1.4,0.9752,0.00053,11.2
6,0.0,-1.167,0.9704,0.00077,13.6
7,3.0,-0.571,0.9655,0.00051,16.2
8,1.0,-0.375,0.9607,0.00084,18.8
9,3.0,0.0,0.9559,0.00051,21.3
10,-1.0,-0.1,0.9511,0.00638,23.8
11,2.0,0.091,0.9464,0.00056,26.2
12,0.0,0.083,0.9416,0.00948,28.7
13,-1.0,0.0,0.9369,0.00073,31.2
14,-3.0,-0.214,0.9322,0.00472,33.5
15,-2.0,-0.333,0.9276,0.01369,35.9
16,0.0,-0.312,0.9229,0.00048,38.4
17,-1.0,-0.353,0.9183,0.00092,40.8
18,-3.0,-0.5,0.9137,0.00537,43.2
19,0.0,-0.474,0.9092,0.00644,45.7
20,1.0,-0.4,0.9046,0.00326,48.2
21,2.0,-0.286,0.9001,0.00057,51.1
22,0.0,-0.273,0.8956,0.00061,53.8
23,0.0,-0.261,0.8911,0.00629,56.5
24,1.0,-0.208,0.8867,0.0058,58.9
25,0.0,-0.2,0.8822,0.00853,61.3
26,0.0,-0.192,0.8778,0.00382,63.9
27,1.0,-0.148,0.8734,0.00601,66.4
28,2.0,-0.071,0.8691,0.0003,69.0
29,-1.0,-0.103,0.8647,0.00086,71.3
30,1.0,-0.067,0.8604,0.00639,73.6
31,-1.0,-0.097,0.8561,0.0004,75.9
32,0.0,-0.094,0.8518,0.00045,78.2
33,0.0,-0.091,0.8475,0.00537,80.6
34,-1.0,-0.118,0.8433,0.00162,82.8
35,0.0,-0.114,0.8391,0.00671,85.2
36,1.0,-0.083,0.8349,0.00056,87.7
37,-1.0,-0.108,0.8307,0.00122,90.3
38,0.0,-0.105,0.8266,0.00084,92.7
39,2.0,-0.051,0.8224,0.00072,94.9
40,0.0,-0.05,0.8183,0.00027,97.1
41,0.0,-0.049,0.8142,0.00064,99.3
42,1.0,-0.024,0.8102,0.00061,101.6
43,0.0,-0.023,0.8061,0.0007,104.2
44,0.0,-0.023,0.8021,0.0009,106.5
45,1.0,0.0,0.7981,0.00583,108.9
46,0.0,0.0,0.7941,0.00049,111.1
47,0.0,0.0,0.7901,0.00036,113.4
48,-1.0,-0.021,0.7862,0.00038,115.6
49,4.0,0.061,0.7822,0.00031,118.0
50,1.0,0.08,0.7783,0.00038,120.2
51,4.0,0.157,0.7744,0.00032,122.4
52,-2.0,0.115,0.7705,0.00519,124.8
53,0.0,0.113,0.7667,0.00043,127.0
54,-1.0,0.093,0.7629,0.00135,129.4
55,1.0,0.109,0.759,0.00117,131.8
56,4.0,0.179,0.7553,0.00344,134.1
57,1.0,0.193,0.7515,0.00712,136.5
58,-1.0,0.172,0.7477,0.00088,138.8
59,0.0,0.169,0.744,0.00034,141.1
60,0.0,0.167,0.7403,0.02373,143.4
61,-1.0,0.148,0.7366,0.00052,145.8
62,0.0,0.145,0.7329,0.0031,148.0
63,-2.0,0.111,0.7292,0.00142,150.2
64,-1.0,0.094,0.7256,0.00771,152.3
65,0.0,0.092,0.7219,0.00045,154.5
66,-1.0,0.076,0.7183,0.00221,156.6
67,4.0,0.134,0.7147,0.00467,158.8
68,-1.0,0.118,0.7112,0.00044,161.0
69,3.0,0.159,0.7076,0.00652,163.1
70,2.0,0.186,0.7041,0.00891,165.3
71,0.0,0.183,0.7005,0.00307,167.4
72,1.0,0.194,0.697,0.00057,169.6
73,1.0,0.205,0.6936,0.00815,171.7
74,-1.0,0.189,0.6901,0.00035,174.0
75,5.0,0.253,0.6866,0.00054,176.4
76,0.0,0.25,0.6832,0.00544,178.5
77,6.0,0.325,0.6798,0.00042,180.7
78,0.0,0.321,0.6764,0.00149,182.9
79,1.0,0.329,0.673,0.00036,185.1
80,2.0,0.35,0.6696,0.00046,187.2
81,-1.0,0.333,0.6663,0.00043,189.5
82,1.0,0.341,0.663,0.00071,191.7
83,0.0,0.337,0.6597,0.00044,193.9
84,1.0,0.345,0.6564,0.0005,196.2
85,-1.0,0.329,0.6531,0.00043,198.3
86,3.0,0.36,0.6498,0.00115,200.6
87,0.0,0.356,0.6466,0.00045,203.1
88,1.0,0.364,0.6433,0.00088,205.7
89,1.0,0.371,0.6401,0.00054,207.7
90,2.0,0.389,0.6369,0.00451,209.8
91,1.0,0.396,0.6337,0.00058,212.1
92,1.0,0.402,0.6306,0.00045,214.2
93,-1.0,0.387,0.6274,0.00139,216.3
94,1.0,0.394,0.6243,0.00059,218.5
95,1.0,0.4,0.6211,0.00083,220.7
96,1.0,0.406,0.618,0.0062,222.8
97,5.0,0.454,0.6149,0.00077,225.0
98,5.0,0.5,0.6119,0.00037,227.1
99,3.0,0.525,0.6088,0.0003,229.5
100,-1.0,0.51,0.6058,0.00056,231.7
101,1.0,0.52,0.6027,0.00047,233.9
102,4.0,0.58,0.5997,0.0133,236.0
103,2.0,0.62,0.5967,0.00136,238.3
104,2.0,0.65,0.5937,0.00507,240.6
105,4.0,0.71,0.5908,0.00826,243.0
106,2.0,0.73,0.5878,0.00082,245.3
107,2.0,0.72,0.5849,0.00276,247.5
108,0.0,0.71,0.582,0.0007,249.7
109,0.0,0.68,0.579,0.00162,251.8
110,-1.0,0.68,0.5762,0.0026,254.1
111,2.0,0.68,0.5733,0.00067,256.3
112,1.0,0.69,0.5704,0.00234,258.4
113,2.0,0.72,0.5676,0.00268,260.4
114,0.0,0.75,0.5647,0.01701,262.4
115,1.0,0.78,0.5619,0.00318,264.9
116,6.0,0.84,0.5591,0.00205,267.3
117,-1.0,0.84,0.5563,0.00326,269.5
118,7.0,0.94,0.5535,0.00095,271.7
119,1.0,0.95,0.5507,0.00124,273.7
120,2.0,0.96,0.548,0.00264,275.9
121,3.0,0.97,0.5452,0.01172,278.1
122,1.0,0.98,0.5425,0.00535,280.2
123,4.0,1.02,0.5398,0.00084,282.4
124,8.0,1.09,0.5371,0.00192,284.5
125,7.0,1.16,0.5344,0.01017,286.7
126,2.0,1.18,0.5318,0.00117,289.0
127,5.0,1.22,0.5291,0.00207,291.1
128,7.0,1.27,0.5264,0.00216,293.3
129,5.0,1.33,0.5238,0.0012,295.3
130,2.0,1.34,0.5212,0.0013,297.3
131,2.0,1.37,0.5186,0.0029,299.3
132,1.0,1.38,0.516,0.00417,301.5
133,5.0,1.43,0.5134,0.00102,303.7
134,-1.0,1.43,0.5108,0.00525,305.9
135,3.0,1.46,0.5083,0.01052,308.3
136,4.0,1.49,0.5058,0.00181,310.8
137,6.0,1.56,0.5032,0.00125,313.4
138,9.0,1.65,0.5007,0.00125,315.8
139,7.0,1.7,0.4982,0.00551,318.3
140,8.0,1.78,0.4957,0.01086,320.9
141,6.0,1.84,0.4932,0.00307,323.2
142,4.0,1.87,0.4908,0.00329,325.6
143,7.0,1.94,0.4883,0.00305,328.0
144,3.0,1.97,0.4859,0.00225,330.3
145,5.0,2.01,0.4834,0.00505,332.7
146,2.0,2.03,0.481,0.00949,335.0
147,5.0,2.08,0.4786,0.01061,337.2
148,5.0,2.14,0.4762,0.00344,339.5
149,3.0,2.13,0.4738,0.00478,341.9
150,8.0,2.2,0.4715,0.00441,344.3
151,4.0,2.2,0.4691,0.00588,346.5
152,13.0,2.35,0.4668,0.00251,348.8
153,5.0,2.4,0.4644,0.00417,351.1
154,5.0,2.46,0.4621,0.01955,353.5
155,4.0,2.49,0.4598,0.00384,356.1
156,4.0,2.49,0.4575,0.0053,358.5
157,1.0,2.49,0.4552,0.0021,360.8
158,5.0,2.55,0.4529,0.00673,363.0
159,1.0,2.56,0.4507,0.00575,365.1
160,2.0,2.58,0.4484,0.01191,367.5
161,1.0,2.6,0.4462,0.00412,370.0
162,6.0,2.66,0.444,0.00459,372.4
163,7.0,2.75,0.4417,0.00375,374.8
164,3.0,2.79,0.4395,0.01183,377.1
165,4.0,2.83,0.4373,0.00999,379.4
166,3.0,2.87,0.4351,0.01375,381.7
167,10.0,2.93,0.433,0.00924,383.9
168,5.0,2.99,0.4308,0.00553,386.0
169,2.0,2.98,0.4286,0.01134,388.1
170,7.0,3.03,0.4265,0.01247,390.2
171,4.0,3.07,0.4244,0.00876,392.4
172,8.0,3.14,0.4223,0.00718,394.4
173,4.0,3.17,0.4201,0.0056,396.5
174,5.0,3.23,0.418,0.00343,398.9
175,7.0,3.25,0.4159,0.00285,401.1
176,3.0,3.28,0.4139,0.00395,403.2
177,4.0,3.26,0.4118,0.00779,405.3
178,8.0,3.34,0.4097,0.00718,407.5
179,2.0,3.35,0.4077,0.00544,409.9
180,5.0,3.38,0.4057,0.00616,412.0
181,5.0,3.44,0.4036,0.00547,414.2
182,6.0,3.49,0.4016,0.00568,416.3
183,5.0,3.54,0.3996,0.00637,418.4
184,1.0,3.54,0.3976,0.01244,420.5
185,4.0,3.59,0.3956,0.0058,422.8
186,2.0,3.58,0.3936,0.01827,425.1
187,4.0,3.62,0.3917,0.00772,427.3
188,4.0,3.65,0.3897,0.00226,429.7
189,4.0,3.68,0.3878,0.00571,431.8
190,2.0,3.68,0.3858,0.00585,434.2
191,13.0,3.8,0.3839,0.00547,436.3
192,7.0,3.86,0.382,0.00854,438.6
193,4.0,3.91,0.3801,0.00453,440.9
194,6.0,3.96,0.3782,0.01248,443.0
195,3.0,3.98,0.3763,0.00458,445.2
196,6.0,4.03,0.3744,0.00573,447.3
197,1.0,3.99,0.3725,0.00553,449.6
198,2.0,3.96,0.3707,0.00678,452.0
