episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,1.0,1.0,0.995,nan,2.7
2,0.0,0.5,0.99,nan,4.5
3,1.0,0.667,0.9851,nan,6.3
4,1.0,0.75,0.9801,0.001,8.5
5,0.0,0.6,0.9752,0.00102,10.9
6,-2.0,0.167,0.9704,0.01566,13.2
7,0.0,0.143,0.9655,0.00054,15.5
8,1.0,0.25,0.9607,0.00065,17.9
9,0.0,0.222,0.9559,0.004,20.3
10,-2.0,0.0,0.9511,0.00116,22.8
11,0.0,0.0,0.9464,0.00847,25.3
12,2.0,0.167,0.9416,0.00091,27.9
13,0.0,0.154,0.9369,0.00087,30.5
14,0.0,0.143,0.9322,0.01466,33.0
15,-1.0,0.067,0.9276,0.00043,35.5
16,2.0,0.188,0.9229,0.00039,38.3
17,-1.0,0.118,0.9183,0.00802,41.0
18,0.0,0.111,0.9137,0.00066,43.5
19,-1.0,0.053,0.9092,0.00102,46.0
20,-1.0,0.0,0.9046,0.00107,48.6
21,3.0,0.143,0.9001,0.00312,51.0
22,1.0,0.182,0.8956,0.00093,53.7
23,1.0,0.217,0.8911,0.00044,56.3
24,-1.0,0.167,0.8867,0.00093,58.7
25,2.0,0.24,0.8822,0.0081,61.1
26,0.0,0.231,0.8778,0.00087,63.6
27,-2.0,0.148,0.8734,0.00126,65.9
28,1.0,0.179,0.8691,0.00047,68.4
29,0.0,0.172,0.8647,0.00074,70.7
30,-2.0,0.1,0.8604,0.00188,73.1
31,2.0,0.161,0.8561,0.00075,75.4
32,-1.0,0.125,0.8518,0.00069,77.6
33,-3.0,0.03,0.8475,0.00101,80.1
34,3.0,0.118,0.8433,0.00921,82.5
35,1.0,0.143,0.8391,0.00139,85.0
36,0.0,0.139,0.8349,0.00069,87.4
37,0.0,0.135,0.8307,0.00431,89.7
38,-1.0,0.105,0.8266,0.00124,92.0
39,-1.0,0.077,0.8224,0.00057,94.4
40,1.0,0.1,0.8183,0.00082,96.8
41,0.0,0.098,0.8142,0.00522,99.1
42,0.0,0.095,0.8102,0.00066,101.3
43,0.0,0.093,0.8061,0.00174,103.7
44,2.0,0.136,0.8021,0.00168,106.1
45,-1.0,0.111,0.7981,0.0005,108.5
46,0.0,0.109,0.7941,0.00761,110.8
47,0.0,0.106,0.7901,0.00123,113.2
48,1.0,0.125,0.7862,0.00062,115.6
49,-1.0,0.102,0.7822,0.00278,118.0
50,0.0,0.1,0.7783,0.01325,120.3
51,1.0,0.118,0.7744,0.0066,122.6
52,0.0,0.115,0.7705,0.01538,124.9
53,1.0,0.132,0.7667,0.00913,127.3
54,-2.0,0.093,0.7629,0.0024,129.6
55,0.0,0.091,0.759,0.00629,132.2
56,0.0,0.089,0.7553,0.00039,134.8
57,0.0,0.088,0.7515,0.00145,137.3
58,0.0,0.086,0.7477,0.00098,140.1
59,0.0,0.085,0.744,0.00096,142.5
60,-3.0,0.033,0.7403,0.00103,145.0
61,-2.0,0.0,0.7366,0.00061,147.4
62,0.0,0.0,0.7329,0.01089,149.7
63,-1.0,-0.016,0.7292,0.00068,152.1
64,-1.0,-0.031,0.7256,0.00379,154.5
65,2.0,0.0,0.7219,0.00154,156.8
66,2.0,0.03,0.7183,0.00126,159.4
67,2.0,0.06,0.7147,0.00083,161.7
68,1.0,0.074,0.7112,0.00091,164.0
69,0.0,0.072,0.7076,0.00186,166.3
70,1.0,0.086,0.7041,0.00832,168.5
71,0.0,0.085,0.7005,0.00085,170.9
72,4.0,0.139,0.697,0.00048,173.4
73,1.0,0.151,0.6936,0.00167,175.7
74,1.0,0.162,0.6901,0.00075,178.0
75,3.0,0.2,0.6866,0.00065,180.3
76,1.0,0.211,0.6832,0.00159,182.7
77,0.0,0.208,0.6798,0.00691,185.2
78,-1.0,0.192,0.6764,0.00106,187.5
79,1.0,0.203,0.673,0.00086,190.0
80,1.0,0.212,0.6696,0.00464,192.2
81,1.0,0.222,0.6663,0.01333,194.5
82,3.0,0.256,0.663,0.00191,196.8
83,2.0,0.277,0.6597,0.0068,199.2
84,2.0,0.298,0.6564,0.0017,201.5
85,3.0,0.329,0.6531,0.00248,204.0
86,2.0,0.349,0.6498,0.01104,206.4
87,0.0,0.345,0.6466,0.00062,208.7
88,0.0,0.341,0.6433,0.00277,211.0
89,3.0,0.371,0.6401,0.00284,213.8
90,2.0,0.389,0.6369,0.00066,216.4
91,3.0,0.418,0.6337,0.00076,218.9
92,3.0,0.446,0.6306,0.00048,221.4
93,0.0,0.441,0.6274,0.00064,223.7
94,3.0,0.468,0.6243,0.00253,226.2
95,1.0,0.474,0.6211,0.0064,228.5
96,2.0,0.49,0.618,0.00695,230.9
97,0.0,0.485,0.6149,0.00193,233.6
98,3.0,0.51,0.6119,0.00143,236.0
99,2.0,0.525,0.6088,0.00136,238.8
100,2.0,0.54,0.6058,0.00534,241.4
101,5.0,0.58,0.6027,0.00133,244.0
102,1.0,0.59,0.5997,0.00802,246.4
103,-1.0,0.57,0.5967,0.00124,248.9
104,1.0,0.57,0.5937,0.00397,251.4
105,0.0,0.57,0.5908,0.00967,253.8
106,0.0,0.59,0.5878,0.00103,256.2
107,4.0,0.63,0.5849,0.00185,258.6
108,2.0,0.64,0.582,0.00614,261.2
109,5.0,0.69,0.579,0.00063,263.8
110,1.0,0.72,0.5762,0.004,266.3
111,1.0,0.73,0.5733,0.00786,268.7
112,2.0,0.73,0.5704,0.00677,271.1
113,1.0,0.74,0.5676,0.00346,273.5
114,-1.0,0.73,0.5647,0.00514,276.0
115,-1.0,0.73,0.5619,0.00264,278.4
116,6.0,0.77,0.5591,0.00257,280.8
117,4.0,0.82,0.5563,0.00065,283.2
118,5.0,0.87,0.5535,0.00114,285.6
119,3.0,0.91,0.5507,0.01009,288.6
120,2.0,0.94,0.548,0.00125,291.3
121,3.0,0.94,0.5452,0.00125,293.8
122,2.0,0.95,0.5425,0.00076,296.3
123,4.0,0.98,0.5398,0.0011,298.6
124,9.0,1.08,0.5371,0.00965,301.0
125,-1.0,1.05,0.5344,0.00873,303.4
126,2.0,1.07,0.5318,0.01195,305.8
127,1.0,1.1,0.5291,0.00245,308.2
128,-2.0,1.07,0.5264,0.01145,310.6
129,1.0,1.08,0.5238,0.00856,312.9
130,2.0,1.12,0.5212,0.00334,315.2
131,4.0,1.14,0.5186,0.00185,317.8
132,5.0,1.2,0.516,0.00237,320.4
133,5.0,1.28,0.5134,0.00175,322.8
134,7.0,1.32,0.5108,0.00249,325.3
135,0.0,1.31,0.5083,0.00222,327.6
136,5.0,1.36,0.5058,0.00682,330.0
137,1.0,1.37,0.5032,0.00331,332.4
138,3.0,1.41,0.5007,0.00454,334.9
139,3.0,1.45,0.4982,0.00798,337.2
140,5.0,1.49,0.4957,0.00826,339.8
141,0.0,1.49,0.4932,0.00147,342.2
142,5.0,1.54,0.4908,0.00386,344.7
143,3.0,1.57,0.4883,0.01016,347.3
144,2.0,1.57,0.4859,0.00142,349.9
145,10.0,1.68,0.4834,0.00125,352.5
146,8.0,1.76,0.481,0.00952,355.1
147,2.0,1.78,0.4786,0.00324,357.5
148,2.0,1.79,0.4762,0.00213,359.9
149,0.0,1.8,0.4738,0.00319,362.4
150,2.0,1.82,0.4715,0.00348,364.7
151,0.0,1.81,0.4691,0.00827,367.0
152,1.0,1.82,0.4668,0.0049,369.5
153,6.0,1.87,0.4644,0.00721,371.9
154,5.0,1.94,0.4621,0.00628,374.3
155,4.0,1.98,0.4598,0.00359,376.7
156,6.0,2.04,0.4575,0.00273,379.2
157,7.0,2.11,0.4552,0.00077,381.5
158,6.0,2.17,0.4529,0.00483,383.9
159,5.0,2.22,0.4507,0.00257,386.4
160,4.0,2.29,0.4484,0.0053,388.7
161,1.0,2.32,0.4462,0.00814,391.2
162,7.0,2.39,0.444,0.01585,393.7
163,4.0,2.44,0.4417,0.00116,396.1
164,2.0,2.47,0.4395,0.00641,398.6
165,11.0,2.56,0.4373,0.00502,401.0
166,1.0,2.55,0.4351,0.00371,403.3
167,1.0,2.54,0.433,0.00656,405.6
168,8.0,2.61,0.4308,0.0046,407.9
169,3.0,2.64,0.4286,0.00897,410.2
170,3.0,2.66,0.4265,0.0026,412.7
171,-2.0,2.64,0.4244,0.00392,415.2
172,0.0,2.6,0.4223,0.00266,417.5
173,3.0,2.62,0.4201,0.00985,419.8
174,8.0,2.69,0.418,0.00466,422.2
175,6.0,2.72,0.4159,0.00631,424.6
176,4.0,2.75,0.4139,0.0057,426.9
177,3.0,2.78,0.4118,0.00734,429.4
178,1.0,2.8,0.4097,0.01538,431.9
179,0.0,2.79,0.4077,0.00571,434.5
180,6.0,2.84,0.4057,0.00354,436.9
181,2.0,2.85,0.4036,0.00803,439.5
182,5.0,2.87,0.4016,0.00356,442.0
183,6.0,2.91,0.3996,0.00539,444.7
184,2.0,2.91,0.3976,0.00542,447.1
185,1.0,2.89,0.3956,0.00412,449.7
186,4.0,2.91,0.3936,0.01012,452.2
187,5.0,2.96,0.3917,0.00327,454.8
188,1.0,2.97,0.3897,0.00364,457.3
189,3.0,2.97,0.3878,0.0049,459.8
190,3.0,2.98,0.3858,0.00341,462.1
191,6.0,3.01,0.3839,0.00453,464.4
192,6.0,3.04,0.382,0.00503,466.7
193,2.0,3.06,0.3801,0.00447,469.0
194,2.0,3.05,0.3782,0.0031,471.7
195,5.0,3.09,0.3763,0.01798,474.3
196,5.0,3.12,0.3744,0.00849,477.1
197,0.0,3.12,0.3725,0.00367,479.8
198,5.0,3.14,0.3707,0.00313,482.2
199,11.0,3.23,0.3688,0.00478,484.8
200,2.0,3.23,0.367,0.00796,487.2
201,9.0,3.27,0.3651,0.00507,489.8
202,5.0,3.31,0.3633,0.006,492.3
203,2.0,3.34,0.3615,0.00496,494.8
204,2.0,3.35,0.3597,0.01091,497.2
205,6.0,3.41,0.3579,0.00904,499.7
206,4.0,3.45,0.3561,0.00663,502.1
207,7.0,3.48,0.3543,0.00662,504.7
208,5.0,3.51,0.3525,0.01044,507.1
209,7.0,3.53,0.3508,0.0046,509.5
210,3.0,3.55,0.349,0.00984,511.8
211,5.0,3.59,0.3473,0.00481,514.3
212,7.0,3.64,0.3455,0.00473,516.7
213,0.0,3.63,0.3438,0.01278,519.3
214,10.0,3.74,0.3421,0.0086,521.8
215,2.0,3.77,0.3404,0.00885,524.0
216,9.0,3.8,0.3387,0.00652,526.4
217,9.0,3.85,0.337,0.00791,528.8
218,5.0,3.85,0.3353,0.00386,531.2
219,5.0,3.87,0.3336,0.00908,533.7
220,3.0,3.88,0.332,0.01272,536.1
221,5.0,3.9,0.3303,0.01079,538.4
222,8.0,3.96,0.3286,0.0098,540.7
223,12.0,4.04,0.327,0.00901,543.3
224,7.0,4.02,0.3254,0.00609,545.6
225,11.0,4.14,0.3237,0.00952,547.9
226,8.0,4.2,0.3221,0.0113,550.2
227,7.0,4.26,0.3205,0.00313,552.4
228,7.0,4.35,0.3189,0.00743,554.8
229,7.0,4.41,0.3173,0.00798,557.2
230,9.0,4.48,0.3157,0.00646,559.7
231,8.0,4.52,0.3141,0.01141,561.9
232,7.0,4.54,0.3126,0.00981,564.4
233,3.0,4.52,0.311,0.00535,566.7
234,3.0,4.48,0.3095,0.0052,569.0
235,9.0,4.57,0.3079,0.00665,571.2
236,9.0,4.61,0.3064,0.00541,573.6
237,9.0,4.69,0.3048,0.02112,576.2
238,4.0,4.7,0.3033,0.01192,578.6
239,11.0,4.78,0.3018,0.00478,581.1
240,5.0,4.78,0.3003,0.01603,583.4
241,5.0,4.83,0.2988,0.01177,585.7
