episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.4
2,-2.0,-1.0,0.99,nan,4.3
3,-2.0,-1.333,0.9851,nan,6.1
4,-1.0,-1.25,0.9801,0.00239,8.3
5,-2.0,-1.4,0.9752,0.0068,10.5
6,0.0,-1.167,0.9704,0.00172,12.8
7,2.0,-0.714,0.9655,0.0018,14.9
8,-2.0,-0.875,0.9607,0.00418,17.1
9,0.0,-0.778,0.9559,0.00273,19.4
10,-2.0,-0.9,0.9511,0.00453,21.7
11,2.0,-0.636,0.9464,0.0043,23.8
12,0.0,-0.583,0.9416,0.00309,26.1
13,-1.0,-0.615,0.9369,0.00419,28.5
14,-2.0,-0.714,0.9322,0.00293,30.7
15,0.0,-0.667,0.9276,0.00418,33.1
16,1.0,-0.562,0.9229,0.00072,35.4
17,2.0,-0.412,0.9183,0.00185,37.7
18,0.0,-0.389,0.9137,0.00103,39.9
19,0.0,-0.368,0.9092,0.00127,42.1
20,-2.0,-0.45,0.9046,0.00126,44.3
21,2.0,-0.333,0.9001,0.00198,46.6
22,2.0,-0.227,0.8956,0.00132,49.0
23,1.0,-0.174,0.8911,0.00356,51.3
24,2.0,-0.083,0.8867,0.00397,53.6
25,-1.0,-0.12,0.8822,0.00354,55.8
26,1.0,-0.077,0.8778,0.00305,58.0
27,-1.0,-0.111,0.8734,0.00247,60.2
28,4.0,0.036,0.8691,0.00109,62.4
29,0.0,0.034,0.8647,0.00257,64.6
30,2.0,0.1,0.8604,0.00113,66.8
31,2.0,0.161,0.8561,0.0014,69.1
32,0.0,0.156,0.8518,0.00483,71.3
33,0.0,0.152,0.8475,0.00087,73.6
34,0.0,0.147,0.8433,0.003,75.8
35,1.0,0.171,0.8391,0.00207,78.3
36,0.0,0.167,0.8349,0.00191,80.7
37,2.0,0.216,0.8307,0.00132,82.9
38,1.0,0.237,0.8266,0.00664,85.2
39,-1.0,0.205,0.8224,0.0028,87.5
40,2.0,0.25,0.8183,0.00169,89.7
41,0.0,0.244,0.8142,0.00341,91.9
42,3.0,0.31,0.8102,0.00309,94.3
43,0.0,0.302,0.8061,0.00138,96.4
44,-1.0,0.273,0.8021,0.00155,98.6
45,0.0,0.267,0.7981,0.00589,100.9
46,-2.0,0.217,0.7941,0.00441,103.1
47,-1.0,0.191,0.7901,0.00124,105.4
48,0.0,0.188,0.7862,0.00181,108.1
49,-1.0,0.163,0.7822,0.00276,110.5
50,2.0,0.2,0.7783,0.0032,113.0
51,-2.0,0.157,0.7744,0.0015,115.3
52,3.0,0.212,0.7705,0.00172,117.5
53,2.0,0.245,0.7667,0.00266,119.7
54,-1.0,0.222,0.7629,0.0026,121.8
55,0.0,0.218,0.759,0.0026,124.1
56,1.0,0.232,0.7553,0.00256,126.4
57,1.0,0.246,0.7515,0.00202,128.7
58,0.0,0.241,0.7477,0.00471,131.0
59,0.0,0.237,0.744,0.00269,133.5
60,1.0,0.25,0.7403,0.00376,136.4
61,-3.0,0.197,0.7366,0.00569,139.2
62,0.0,0.194,0.7329,0.00388,141.5
63,3.0,0.238,0.7292,0.0016,143.8
64,0.0,0.234,0.7256,0.00225,146.1
65,1.0,0.246,0.7219,0.00181,149.0
66,1.0,0.258,0.7183,0.00332,151.7
67,2.0,0.284,0.7147,0.00109,154.6
68,-1.0,0.265,0.7112,0.00234,157.8
69,-2.0,0.232,0.7076,0.00272,160.6
70,0.0,0.229,0.7041,0.00344,163.2
71,0.0,0.225,0.7005,0.00293,165.5
72,-1.0,0.208,0.697,0.00422,167.9
73,-1.0,0.192,0.6936,0.00632,170.2
74,-1.0,0.176,0.6901,0.00145,172.5
75,0.0,0.173,0.6866,0.00579,174.8
76,1.0,0.184,0.6832,0.00146,176.9
77,1.0,0.195,0.6798,0.00308,179.1
78,3.0,0.231,0.6764,0.0015,181.4
79,1.0,0.241,0.673,0.00677,183.7
80,-3.0,0.2,0.6696,0.00174,186.0
81,0.0,0.198,0.6663,0.00557,188.3
82,6.0,0.268,0.663,0.00225,190.6
83,1.0,0.277,0.6597,0.00339,192.8
84,1.0,0.286,0.6564,0.00356,195.1
85,0.0,0.282,0.6531,0.00305,197.5
86,7.0,0.36,0.6498,0.00337,200.0
87,1.0,0.368,0.6466,0.0027,202.3
88,3.0,0.398,0.6433,0.00381,204.6
89,3.0,0.427,0.6401,0.00365,206.9
90,1.0,0.433,0.6369,0.00302,209.2
91,1.0,0.44,0.6337,0.00278,211.6
92,1.0,0.446,0.6306,0.00224,214.0
93,3.0,0.473,0.6274,0.00271,216.2
94,3.0,0.5,0.6243,0.00416,218.6
95,4.0,0.537,0.6211,0.00498,220.9
96,3.0,0.562,0.618,0.00237,223.1
97,3.0,0.588,0.6149,0.00297,225.4
98,2.0,0.602,0.6119,0.00514,227.8
99,0.0,0.596,0.6088,0.00331,230.2
100,0.0,0.59,0.6058,0.00608,232.3
101,3.0,0.62,0.6027,0.00483,234.5
102,1.0,0.65,0.5997,0.0027,236.7
103,3.0,0.7,0.5967,0.00278,239.1
104,0.0,0.71,0.5937,0.00308,241.3
105,5.0,0.78,0.5908,0.00516,243.6
106,2.0,0.8,0.5878,0.00278,245.6
107,3.0,0.81,0.5849,0.00425,247.7
108,3.0,0.86,0.582,0.00485,249.9
109,4.0,0.9,0.579,0.00336,252.2
110,9.0,1.01,0.5762,0.00392,254.4
111,2.0,1.01,0.5733,0.00231,256.6
112,0.0,1.01,0.5704,0.0039,258.9
113,-1.0,1.01,0.5676,0.00218,261.2
114,5.0,1.08,0.5647,0.0022,263.7
115,1.0,1.09,0.5619,0.00237,266.0
116,3.0,1.11,0.5591,0.00299,268.4
117,1.0,1.1,0.5563,0.00274,270.6
118,1.0,1.11,0.5535,0.00484,272.9
119,1.0,1.12,0.5507,0.00548,275.1
120,0.0,1.14,0.548,0.00495,277.3
