episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,-2.0,-2.0,0.995,nan,2.2
2,0.0,-1.0,0.99,nan,4.0
3,-1.0,-1.0,0.9851,nan,5.8
4,2.0,-0.25,0.9801,0.00197,8.0
5,0.0,-0.2,0.9752,0.00092,10.4
6,1.0,0.0,0.9704,0.00072,12.7
7,1.0,0.143,0.9655,0.00103,14.9
8,-1.0,0.0,0.9607,0.00631,17.3
9,1.0,0.111,0.9559,0.00069,19.7
10,0.0,0.1,0.9511,0.00063,21.9
11,0.0,0.091,0.9464,0.00684,24.2
12,0.0,0.083,0.9416,0.01182,26.5
13,-1.0,0.0,0.9369,0.00036,28.8
14,1.0,0.071,0.9322,0.00048,31.1
15,-2.0,-0.067,0.9276,0.00046,33.7
16,1.0,0.0,0.9229,0.00051,36.0
17,-2.0,-0.118,0.9183,0.00045,38.5
18,0.0,-0.111,0.9137,0.00063,40.8
19,0.0,-0.105,0.9092,0.00043,43.1
20,-1.0,-0.15,0.9046,0.00051,45.5
21,0.0,-0.143,0.9001,0.00038,48.0
22,1.0,-0.091,0.8956,0.00068,50.3
23,0.0,-0.087,0.8911,0.00034,52.8
24,2.0,0.0,0.8867,0.01732,55.5
25,2.0,0.08,0.8822,0.01329,57.8
26,0.0,0.077,0.8778,0.00047,60.0
27,-2.0,0.0,0.8734,0.0046,62.4
28,0.0,0.0,0.8691,0.00077,64.8
29,0.0,0.0,0.8647,0.00102,67.0
30,2.0,0.067,0.8604,0.0078,69.6
31,1.0,0.097,0.8561,0.00041,71.8
32,-1.0,0.062,0.8518,0.00083,74.2
33,3.0,0.152,0.8475,0.01006,76.6
34,0.0,0.147,0.8433,0.00728,78.9
35,1.0,0.171,0.8391,0.00067,81.3
36,0.0,0.167,0.8349,0.0056,83.9
37,3.0,0.243,0.8307,0.00056,86.3
38,0.0,0.237,0.8266,0.00036,88.7
39,0.0,0.231,0.8224,0.00086,91.0
40,0.0,0.225,0.8183,0.00047,93.7
41,0.0,0.22,0.8142,0.0012,96.2
42,0.0,0.214,0.8102,0.00103,98.6
43,0.0,0.209,0.8061,0.00066,100.9
44,1.0,0.227,0.8021,0.00694,103.2
45,-1.0,0.2,0.7981,0.00074,105.7
46,1.0,0.217,0.7941,0.00067,108.8
47,0.0,0.213,0.7901,0.00088,111.2
48,2.0,0.25,0.7862,0.00045,113.8
49,2.0,0.286,0.7822,0.0026,116.4
50,0.0,0.28,0.7783,0.0006,119.0
51,2.0,0.314,0.7744,0.00067,121.2
52,0.0,0.308,0.7705,0.00043,123.7
53,2.0,0.34,0.7667,0.00241,126.0
54,1.0,0.352,0.7629,0.00214,128.3
55,2.0,0.382,0.759,0.00096,130.5
56,1.0,0.393,0.7553,0.00108,132.7
57,0.0,0.386,0.7515,0.00094,135.0
58,1.0,0.397,0.7477,0.00081,137.6
59,5.0,0.475,0.744,0.00282,140.0
60,0.0,0.467,0.7403,0.0009,142.3
61,0.0,0.459,0.7366,0.00209,144.8
62,0.0,0.452,0.7329,0.00192,147.2
63,1.0,0.46,0.7292,0.00146,149.5
64,3.0,0.5,0.7256,0.00117,151.9
65,2.0,0.523,0.7219,0.00577,154.3
66,1.0,0.53,0.7183,0.00779,156.5
67,2.0,0.552,0.7147,0.00142,158.9
68,2.0,0.574,0.7112,0.00196,161.4
69,3.0,0.609,0.7076,0.00088,163.7
70,1.0,0.614,0.7041,0.00487,166.0
71,2.0,0.634,0.7005,0.00275,168.4
72,2.0,0.653,0.697,0.00083,170.8
73,2.0,0.671,0.6936,0.002,173.2
74,1.0,0.676,0.6901,0.00077,175.4
75,2.0,0.693,0.6866,0.00221,177.8
76,1.0,0.697,0.6832,0.00106,180.1
77,3.0,0.727,0.6798,0.00315,182.6
78,3.0,0.756,0.6764,0.00063,185.0
79,2.0,0.772,0.673,0.02598,187.6
80,2.0,0.787,0.6696,0.00272,190.1
81,1.0,0.79,0.6663,0.00824,192.4
82,6.0,0.854,0.663,0.00076,194.7
83,1.0,0.855,0.6597,0.00693,196.9
84,5.0,0.905,0.6564,0.00802,199.3
