episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.3
2,1.0,0.5,0.99,nan,3.9
3,1.0,0.667,0.9851,nan,5.7
4,-1.0,0.25,0.9801,0.00212,7.9
5,1.0,0.4,0.9752,0.0018,10.2
6,-1.0,0.167,0.9704,0.00123,12.4
7,1.0,0.286,0.9655,0.00359,14.6
8,-1.0,0.125,0.9607,0.00241,16.8
9,0.0,0.111,0.9559,0.00389,19.1
10,4.0,0.5,0.9511,0.00179,21.4
11,-1.0,0.364,0.9464,0.00153,23.7
12,2.0,0.5,0.9416,0.00158,26.0
13,1.0,0.538,0.9369,0.00367,28.4
14,0.0,0.5,0.9322,0.00187,30.6
15,-2.0,0.333,0.9276,0.00236,32.9
16,-2.0,0.188,0.9229,0.00742,35.1
17,1.0,0.235,0.9183,0.00461,37.6
18,0.0,0.222,0.9137,0.0057,39.9
19,-1.0,0.158,0.9092,0.00406,42.5
20,-2.0,0.05,0.9046,0.00155,45.0
21,-1.0,0.0,0.9001,0.00086,47.2
22,2.0,0.091,0.8956,0.00283,49.4
23,-2.0,0.0,0.8911,0.00463,51.7
24,1.0,0.042,0.8867,0.00434,54.0
25,0.0,0.04,0.8822,0.00383,56.2
26,1.0,0.077,0.8778,0.00139,58.6
27,0.0,0.074,0.8734,0.0039,60.8
28,0.0,0.071,0.8691,0.00163,63.0
29,0.0,0.069,0.8647,0.00334,65.2
30,0.0,0.067,0.8604,0.00442,67.7
31,0.0,0.065,0.8561,0.00367,69.9
32,-2.0,0.0,0.8518,0.0008,72.3
33,-2.0,-0.061,0.8475,0.00184,74.9
34,-2.0,-0.118,0.8433,0.00139,77.1
35,1.0,-0.086,0.8391,0.00108,79.4
36,0.0,-0.083,0.8349,0.00486,81.8
37,1.0,-0.054,0.8307,0.00234,84.3
38,0.0,-0.053,0.8266,0.00502,86.6
39,0.0,-0.051,0.8224,0.00224,89.1
40,0.0,-0.05,0.8183,0.00197,91.3
41,0.0,-0.049,0.8142,0.0032,93.5
42,1.0,-0.024,0.8102,0.00367,95.9
43,0.0,-0.023,0.8061,0.00359,98.7
44,1.0,0.0,0.8021,0.00282,101.2
45,1.0,0.022,0.7981,0.00165,103.7
46,-1.0,0.0,0.7941,0.00236,106.2
47,1.0,0.021,0.7901,0.00217,108.7
48,0.0,0.021,0.7862,0.00257,110.9
49,-1.0,0.0,0.7822,0.00327,113.3
50,0.0,0.0,0.7783,0.00161,115.5
51,-2.0,-0.039,0.7744,0.00177,117.7
52,1.0,-0.019,0.7705,0.00267,119.9
53,0.0,-0.019,0.7667,0.00162,121.9
54,-2.0,-0.056,0.7629,0.00159,124.2
55,0.0,-0.055,0.759,0.00151,126.6
56,-1.0,-0.071,0.7553,0.00221,129.0
57,-1.0,-0.088,0.7515,0.00153,131.3
58,-1.0,-0.103,0.7477,0.00335,133.6
59,1.0,-0.085,0.744,0.00196,136.0
60,1.0,-0.067,0.7403,0.00264,138.2
61,0.0,-0.066,0.7366,0.0041,140.5
62,1.0,-0.048,0.7329,0.00312,142.8
63,1.0,-0.032,0.7292,0.001,145.1
64,2.0,0.0,0.7256,0.00124,147.4
65,2.0,0.031,0.7219,0.00197,149.7
66,1.0,0.045,0.7183,0.00227,152.1
67,-1.0,0.03,0.7147,0.00288,154.4
68,1.0,0.044,0.7112,0.00319,156.6
69,-1.0,0.029,0.7076,0.00126,158.9
70,1.0,0.043,0.7041,0.00232,161.2
71,-1.0,0.028,0.7005,0.00293,163.5
72,0.0,0.028,0.697,0.00357,165.7
73,0.0,0.027,0.6936,0.00184,168.0
74,1.0,0.041,0.6901,0.0015,170.2
75,1.0,0.053,0.6866,0.00241,172.6
76,1.0,0.066,0.6832,0.00311,175.0
77,2.0,0.091,0.6798,0.00321,177.4
78,2.0,0.115,0.6764,0.00297,179.8
79,1.0,0.127,0.673,0.00303,182.1
80,0.0,0.125,0.6696,0.00381,184.3
81,-1.0,0.111,0.6663,0.00336,186.5
82,0.0,0.11,0.663,0.00274,188.8
83,1.0,0.12,0.6597,0.00229,191.1
84,0.0,0.119,0.6564,0.0022,193.4
85,0.0,0.118,0.6531,0.00253,195.6
86,3.0,0.151,0.6498,0.00293,197.8
87,0.0,0.149,0.6466,0.00429,200.3
88,2.0,0.17,0.6433,0.00226,202.8
89,1.0,0.18,0.6401,0.00201,205.3
90,-1.0,0.167,0.6369,0.0022,207.9
91,-1.0,0.154,0.6337,0.00369,210.3
92,0.0,0.152,0.6306,0.00291,212.6
93,-2.0,0.129,0.6274,0.00376,214.9
94,1.0,0.138,0.6243,0.00459,217.2
95,6.0,0.2,0.6211,0.00429,219.4
96,3.0,0.229,0.618,0.00353,221.9
97,2.0,0.247,0.6149,0.00624,224.2
98,-1.0,0.235,0.6119,0.00184,226.4
99,0.0,0.232,0.6088,0.00151,228.8
100,2.0,0.25,0.6058,0.0045,231.3
101,3.0,0.28,0.6027,0.00358,233.5
102,4.0,0.31,0.5997,0.00207,235.8
103,0.0,0.3,0.5967,0.00285,238.2
104,4.0,0.35,0.5937,0.00249,240.4
105,0.0,0.34,0.5908,0.00327,243.1
106,2.0,0.37,0.5878,0.00541,245.3
107,1.0,0.37,0.5849,0.0022,247.6
108,-2.0,0.36,0.582,0.0036,249.9
109,0.0,0.36,0.579,0.00167,252.0
110,2.0,0.34,0.5762,0.00276,254.4
111,0.0,0.35,0.5733,0.00186,256.8
112,6.0,0.39,0.5704,0.00509,259.1
113,1.0,0.39,0.5676,0.00273,261.4
114,2.0,0.41,0.5647,0.00238,263.7
115,4.0,0.47,0.5619,0.00262,265.9
116,1.0,0.5,0.5591,0.00324,268.3
117,2.0,0.51,0.5563,0.00345,270.7
118,4.0,0.55,0.5535,0.00317,273.0
119,-2.0,0.54,0.5507,0.00577,275.1
120,2.0,0.58,0.548,0.00302,277.3
121,-1.0,0.58,0.5452,0.00415,279.5
122,0.0,0.56,0.5425,0.00275,282.1
123,-2.0,0.56,0.5398,0.00335,284.7
124,0.0,0.55,0.5371,0.00436,287.1
125,-3.0,0.52,0.5344,0.00435,289.2
126,2.0,0.53,0.5318,0.00359,291.6
127,6.0,0.59,0.5291,0.0044,294.1
128,4.0,0.63,0.5264,0.00211,296.7
129,5.0,0.68,0.5238,0.00393,299.0
130,2.0,0.7,0.5212,0.00223,301.3
131,-3.0,0.67,0.5186,0.00706,303.4
132,7.0,0.76,0.516,0.0029,305.5
133,1.0,0.79,0.5134,0.00541,308.0
134,-1.0,0.8,0.5108,0.00175,310.3
135,0.0,0.79,0.5083,0.00291,312.6
136,2.0,0.81,0.5058,0.00697,314.8
137,1.0,0.81,0.5032,0.00433,317.1
138,2.0,0.83,0.5007,0.00407,319.3
139,1.0,0.84,0.4982,0.00474,321.6
140,6.0,0.9,0.4957,0.00539,324.2
141,0.0,0.9,0.4932,0.00271,326.6
142,0.0,0.89,0.4908,0.00467,329.0
143,4.0,0.93,0.4883,0.0034,331.2
144,4.0,0.96,0.4859,0.00325,333.6
145,-1.0,0.94,0.4834,0.00634,335.8
146,1.0,0.96,0.481,0.00621,338.0
147,-1.0,0.94,0.4786,0.00387,340.5
148,4.0,0.98,0.4762,0.0052,342.9
149,1.0,1.0,0.4738,0.00432,345.2
150,10.0,1.1,0.4715,0.00394,347.5
151,3.0,1.15,0.4691,0.00639,349.9
152,6.0,1.2,0.4668,0.00496,352.2
153,1.0,1.21,0.4644,0.00538,354.5
154,2.0,1.25,0.4621,0.00338,356.9
155,1.0,1.26,0.4598,0.00533,359.3
156,-1.0,1.26,0.4575,0.00513,361.6
157,9.0,1.36,0.4552,0.00539,364.0
158,0.0,1.37,0.4529,0.00318,366.3
159,2.0,1.38,0.4507,0.00217,368.7
160,7.0,1.44,0.4484,0.00461,371.0
161,4.0,1.48,0.4462,0.00712,373.4
162,2.0,1.49,0.444,0.00554,375.7
163,5.0,1.53,0.4417,0.00317,377.9
164,5.0,1.56,0.4395,0.00246,380.2
165,6.0,1.6,0.4373,0.00281,382.6
166,3.0,1.62,0.4351,0.00437,384.8
167,2.0,1.65,0.433,0.0051,387.4
168,0.0,1.64,0.4308,0.0025,389.7
169,4.0,1.69,0.4286,0.00262,391.9
170,5.0,1.73,0.4265,0.007,394.1
171,2.0,1.76,0.4244,0.00326,396.4
172,4.0,1.8,0.4223,0.0037,398.5
173,4.0,1.84,0.4201,0.00582,401.0
