episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.2
2,1.0,0.5,0.99,nan,3.8
3,1.0,0.667,0.9851,nan,5.5
4,-1.0,0.25,0.9801,0.00286,7.6
5,1.0,0.4,0.9752,0.00166,9.8
6,0.0,0.333,0.9704,0.01821,12.0
7,1.0,0.429,0.9655,0.00733,14.1
8,0.0,0.375,0.9607,0.0017,16.2
9,3.0,0.667,0.9559,0.01208,18.2
10,0.0,0.6,0.9511,0.00882,20.3
11,-1.0,0.455,0.9464,0.00098,22.4
12,1.0,0.5,0.9416,0.01543,24.5
13,-1.0,0.385,0.9369,0.00498,26.5
14,0.0,0.357,0.9322,0.00102,28.5
15,3.0,0.533,0.9276,0.00107,30.7
16,-1.0,0.438,0.9229,0.01156,32.7
17,0.0,0.412,0.9183,0.00771,34.8
18,-1.0,0.333,0.9137,0.0128,36.9
19,2.0,0.421,0.9092,0.01706,39.2
20,-2.0,0.3,0.9046,0.00171,41.5
21,1.0,0.333,0.9001,0.01538,43.6
22,1.0,0.364,0.8956,0.00126,45.7
23,0.0,0.348,0.8911,0.00083,47.9
24,0.0,0.333,0.8867,0.00113,50.0
25,1.0,0.36,0.8822,0.00141,52.0
26,0.0,0.346,0.8778,0.00126,54.2
27,-2.0,0.259,0.8734,0.00633,56.2
28,2.0,0.321,0.8691,0.00405,58.2
29,1.0,0.345,0.8647,0.00867,60.4
30,-1.0,0.3,0.8604,0.00088,62.5
31,2.0,0.355,0.8561,0.01771,64.7
32,0.0,0.344,0.8518,0.00868,66.8
33,-1.0,0.303,0.8475,0.0015,69.1
34,1.0,0.324,0.8433,0.00117,71.3
35,0.0,0.314,0.8391,0.00126,73.6
36,0.0,0.306,0.8349,0.00823,75.7
37,1.0,0.324,0.8307,0.00731,77.7
38,-1.0,0.289,0.8266,0.00119,79.8
39,-1.0,0.256,0.8224,0.0024,81.8
40,1.0,0.275,0.8183,0.00921,83.9
41,1.0,0.293,0.8142,0.00144,86.0
42,-1.0,0.262,0.8102,0.01153,88.1
43,1.0,0.279,0.8061,0.00152,90.3
44,3.0,0.341,0.8021,0.00194,92.5
45,2.0,0.378,0.7981,0.00924,95.1
46,2.0,0.413,0.7941,0.00834,98.0
47,1.0,0.426,0.7901,0.00612,100.5
48,0.0,0.417,0.7862,0.00495,102.6
49,-1.0,0.388,0.7822,0.0015,104.8
50,-1.0,0.36,0.7783,0.00822,107.1
51,0.0,0.353,0.7744,0.00447,109.7
52,0.0,0.346,0.7705,0.00277,112.4
53,1.0,0.358,0.7667,0.01173,115.0
54,1.0,0.37,0.7629,0.01325,117.8
55,4.0,0.436,0.759,0.00339,120.5
56,0.0,0.429,0.7553,0.0088,123.0
57,3.0,0.474,0.7515,0.00885,125.2
58,0.0,0.466,0.7477,0.00132,127.3
59,-1.0,0.441,0.744,0.00165,129.6
60,1.0,0.45,0.7403,0.00273,131.7
61,1.0,0.459,0.7366,0.00216,134.0
62,0.0,0.452,0.7329,0.01755,136.0
63,1.0,0.46,0.7292,0.0041,138.1
64,2.0,0.484,0.7256,0.01174,140.0
65,0.0,0.477,0.7219,0.0106,142.2
66,2.0,0.5,0.7183,0.00403,144.4
67,0.0,0.493,0.7147,0.00245,146.5
