episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.4
2,1.0,0.5,0.99,nan,4.3
3,0.0,0.333,0.9851,nan,6.0
4,-1.0,0.0,0.9801,0.00292,8.0
5,1.0,0.2,0.9752,0.00212,10.1
6,-1.0,0.0,0.9704,0.00187,12.3
7,0.0,0.0,0.9655,0.00178,14.6
8,1.0,0.125,0.9607,0.01099,16.8
9,-1.0,0.0,0.9559,0.01099,18.8
10,1.0,0.1,0.9511,0.00127,21.0
11,2.0,0.273,0.9464,0.00213,23.1
12,0.0,0.25,0.9416,0.01794,25.1
13,-1.0,0.154,0.9369,0.00212,27.4
14,-2.0,0.0,0.9322,0.00104,29.4
15,1.0,0.067,0.9276,0.0068,31.5
16,0.0,0.062,0.9229,0.00704,33.7
17,0.0,0.059,0.9183,0.00681,35.9
18,0.0,0.056,0.9137,0.00158,38.1
19,1.0,0.105,0.9092,0.00093,40.2
20,0.0,0.1,0.9046,0.00173,42.5
21,0.0,0.095,0.9001,0.00713,44.5
22,3.0,0.227,0.8956,0.00132,46.7
23,0.0,0.217,0.8911,0.01639,48.7
24,0.0,0.208,0.8867,0.00148,50.9
25,-2.0,0.12,0.8822,0.00094,53.1
26,1.0,0.154,0.8778,0.00742,55.3
27,-1.0,0.111,0.8734,0.00153,57.5
28,-2.0,0.036,0.8691,0.00127,59.5
29,-1.0,0.0,0.8647,0.00806,61.6
30,-1.0,-0.033,0.8604,0.00634,63.9
31,-1.0,-0.065,0.8561,0.00777,66.2
32,1.0,-0.031,0.8518,0.00132,68.4
33,0.0,-0.03,0.8475,0.00154,70.5
34,2.0,0.029,0.8433,0.00867,72.8
35,1.0,0.057,0.8391,0.00782,75.0
36,0.0,0.056,0.8349,0.00152,77.0
37,3.0,0.135,0.8307,0.00894,79.0
38,-1.0,0.105,0.8266,0.00124,81.2
39,-2.0,0.051,0.8224,0.00107,83.3
40,1.0,0.075,0.8183,0.0087,85.4
41,1.0,0.098,0.8142,0.00139,87.4
42,0.0,0.095,0.8102,0.00119,89.5
43,0.0,0.093,0.8061,0.00139,91.7
44,3.0,0.159,0.8021,0.0012,94.0
45,0.0,0.156,0.7981,0.00537,96.1
46,-1.0,0.13,0.7941,0.00134,98.4
47,-1.0,0.106,0.7901,0.00085,100.6
48,-2.0,0.062,0.7862,0.00182,102.8
