episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.3
2,1.0,0.5,0.99,nan,4.5
3,1.0,0.667,0.9851,nan,6.4
4,-1.0,0.25,0.9801,0.00104,8.7
5,1.0,0.4,0.9752,0.00055,11.0
6,-1.0,0.167,0.9704,0.00051,13.5
7,1.0,0.286,0.9655,0.00574,16.2
8,0.0,0.25,0.9607,0.00037,18.7
9,0.0,0.222,0.9559,0.00379,21.1
10,-2.0,0.0,0.9511,0.00049,23.7
11,1.0,0.091,0.9464,0.00048,26.1
12,-1.0,0.0,0.9416,0.00041,28.6
13,-1.0,-0.077,0.9369,0.00072,31.1
14,0.0,-0.071,0.9322,0.00044,33.4
15,2.0,0.067,0.9276,0.00031,35.7
16,-2.0,-0.062,0.9229,0.00066,38.1
17,1.0,0.0,0.9183,0.00055,40.5
18,0.0,0.0,0.9137,0.00556,42.8
19,0.0,0.0,0.9092,0.00702,45.3
20,0.0,0.0,0.9046,0.00045,47.9
21,0.0,0.0,0.9001,0.00074,51.1
22,0.0,0.0,0.8956,0.00049,53.8
23,1.0,0.043,0.8911,0.00068,56.2
24,-1.0,0.0,0.8867,0.00032,58.7
25,-1.0,-0.04,0.8822,0.01088,61.2
26,0.0,-0.038,0.8778,0.00045,63.8
27,-1.0,-0.074,0.8734,0.00042,66.2
28,0.0,-0.071,0.8691,0.00685,68.8
29,-2.0,-0.138,0.8647,0.00088,71.1
30,0.0,-0.133,0.8604,0.0005,73.5
31,-1.0,-0.161,0.8561,0.00389,75.8
32,-2.0,-0.219,0.8518,0.00067,78.1
33,0.0,-0.212,0.8475,0.00035,80.5
34,-1.0,-0.235,0.8433,0.00068,82.7
35,-1.0,-0.257,0.8391,0.00095,85.0
36,0.0,-0.25,0.8349,0.00816,87.5
37,0.0,-0.243,0.8307,0.00594,90.0
38,4.0,-0.132,0.8266,0.00057,92.5
39,0.0,-0.128,0.8224,0.00042,94.6
40,0.0,-0.125,0.8183,0.00039,96.8
41,1.0,-0.098,0.8142,0.00092,99.0
42,0.0,-0.095,0.8102,0.00758,101.2
43,0.0,-0.093,0.8061,0.00137,103.9
44,2.0,-0.045,0.8021,0.00049,106.2
45,-2.0,-0.089,0.7981,0.007,108.6
46,1.0,-0.065,0.7941,0.00047,110.9
47,1.0,-0.043,0.7901,0.00073,113.2
48,2.0,0.0,0.7862,0.00073,115.5
49,-1.0,-0.02,0.7822,0.00043,117.9
50,3.0,0.04,0.7783,0.00783,120.1
51,0.0,0.039,0.7744,0.00276,122.3
52,-1.0,0.019,0.7705,0.00089,124.7
53,0.0,0.019,0.7667,0.00051,126.9
54,1.0,0.037,0.7629,0.00116,129.3
55,0.0,0.036,0.759,0.01489,131.7
56,0.0,0.036,0.7553,0.00124,134.1
57,3.0,0.088,0.7515,0.0005,136.4
58,-1.0,0.069,0.7477,0.00563,138.7
59,3.0,0.119,0.744,0.00122,140.9
60,0.0,0.117,0.7403,0.00038,143.2
61,-5.0,0.033,0.7366,0.00695,145.6
62,3.0,0.081,0.7329,0.00044,147.9
63,3.0,0.127,0.7292,0.007,150.0
64,1.0,0.141,0.7256,0.00114,152.2
65,1.0,0.154,0.7219,0.0012,154.3
66,3.0,0.197,0.7183,0.00097,156.4
67,0.0,0.194,0.7147,0.01248,158.6
68,3.0,0.235,0.7112,0.0022,160.8
69,0.0,0.232,0.7076,0.00192,163.0
70,2.0,0.257,0.7041,0.00039,165.1
71,-1.0,0.239,0.7005,0.00143,167.2
72,1.0,0.25,0.697,0.00064,169.4
73,0.0,0.247,0.6936,0.00034,171.6
74,0.0,0.243,0.6901,0.0081,173.8
75,1.0,0.253,0.6866,0.00034,176.2
76,-1.0,0.237,0.6832,0.00111,178.3
77,2.0,0.26,0.6798,0.00085,180.5
78,1.0,0.269,0.6764,0.00069,182.6
79,1.0,0.278,0.673,0.00106,184.8
80,3.0,0.312,0.6696,0.00472,187.0
81,3.0,0.346,0.6663,0.00038,189.2
82,5.0,0.402,0.663,0.0012,191.4
83,1.0,0.41,0.6597,0.00553,193.7
84,4.0,0.452,0.6564,0.00095,196.1
85,3.0,0.482,0.6531,0.00128,198.2
86,-1.0,0.465,0.6498,0.00147,200.4
87,2.0,0.483,0.6466,0.00319,202.8
88,2.0,0.5,0.6433,0.00058,205.4
89,2.0,0.517,0.6401,0.00092,207.5
90,0.0,0.511,0.6369,0.00066,209.6
